,title,source,year,month,day
0, QG电竞俱乐部完成近亿元A轮融资 ,新浪财经,2018,09,27
1,亚运会夺冠会给电竞教育带来多少利好,新浪财经-自媒体综合,2018,09,13
2, 【Research and Markets：电竞市场在2,新浪财经,2018,09,11
3,多路资本涌入880亿电竞市场 中国电竞等待斯特恩,每日经济新闻,2018,09,11
4,虎牙宣布运营《守望先锋联赛》战队 布局全球电竞,环球网,2018,09,08
5,电竞馆的贴地飞行：从两月回本 到办卡跑路,娱乐资本论,2018,09,07
6,奥委会主席表态 电竞产业布局生变,新浪财经-自媒体综合,2018,09,04
7,奥委会主席表态 电竞产业将迎调整风口,北京商报,2018,09,03
8,9家房企争夺！中国电建9.8亿竞得大杨石65.51亩居住用地,乐居财经,2018,09,03
9,巴赫：电竞不移除暴力元素就不允许入奥,新京报,2018,09,03
10, QG电竞俱乐部完成近亿元A轮融资 ,新浪财经,2018,09,27
11,亚运会夺冠会给电竞教育带来多少利好,新浪财经-自媒体综合,2018,09,13
12, 【Research and Markets：电竞市场在2,新浪财经,2018,09,11
13,多路资本涌入880亿电竞市场 中国电竞等待斯特恩,每日经济新闻,2018,09,11
14,虎牙宣布运营《守望先锋联赛》战队 布局全球电竞,环球网,2018,09,08
15,电竞馆的贴地飞行：从两月回本 到办卡跑路,娱乐资本论,2018,09,07
16,奥委会主席表态 电竞产业布局生变,新浪财经-自媒体综合,2018,09,04
17,奥委会主席表态 电竞产业将迎调整风口,北京商报,2018,09,03
18,9家房企争夺！中国电建9.8亿竞得大杨石65.51亩居住用地,乐居财经,2018,09,03
19,巴赫：电竞不移除暴力元素就不允许入奥,新京报,2018,09,03
20,从亚运电竞金牌看中国亚文化的创造性,新华网,2018,09,01
21,中国电竞直播行业爆发 斗鱼或成赢家,中国经营报,2018,09,01
22,当游戏穿上电竞外衣,《商界评论》杂志,2018,08,31
23,伽马数据调研安徽合肥电竞发展,中国新闻网,2018,08,30
24,2018年亚运会电竞表演项目《英雄联盟》决赛，中国队3-1战,新浪财经,2018,08,29
25,电竞不是运动？霍启刚表示不服,新华社,2018,08,29
26,电竞行业发展困局亟需突破 游戏公司纷纷抢位,中国证券报,2018,08,28
27,亚运“电竞首金”背后：从被误解到千亿市场,新京报,2018,08,28
28,亚运电竞首金背后：从“不务正业”到千亿市场,新京报,2018,08,28
29,全球顶级电竞盛宴Ti8落下帷幕 中国战队获得亚军,每日经济新闻,2018,08,26
30,Twitter已经与守望联盟（OWL）签订协议，以传播电竞直,新浪财经,2018,08,24
31,王思聪的电竞棋局,新浪财经-自媒体综合,2018,08,24
32,花旗评十大值得投资创新技术，电池 5G 电竞上榜,智通财经网,2018,08,24
33,马来西亚“电竞教父”：希望中国继续扮演领头羊角色,新京报,2018,08,21
34,马来西亚电竞解说多为兼职 工作一天赚1200人民币,新京报,2018,08,20
35,中国队夺“第四金” 亚运会新增电竞项目,北京商报,2018,08,20
36,从娱乐圈“纪委书记”到电竞选手 他身后的电竞帝国,新京报,2018,08,18
37,从网吧到网咖：电竞发展 网吧生意意外复苏,新京报,2018,08,17
38,上海浦东：借自贸“东风”打造全球电竞之都核心区,中国新闻网,2018,08,16
39,赛事稀缺 线下电竞馆等待春天,21世纪经济报道,2018,08,15
40, QG电竞俱乐部完成近亿元A轮融资 ,新浪财经,2018,09,27
41,亚运会夺冠会给电竞教育带来多少利好,新浪财经-自媒体综合,2018,09,13
42, 【Research and Markets：电竞市场在2,新浪财经,2018,09,11
43,多路资本涌入880亿电竞市场 中国电竞等待斯特恩,每日经济新闻,2018,09,11
44,虎牙宣布运营《守望先锋联赛》战队 布局全球电竞,环球网,2018,09,08
45,电竞馆的贴地飞行：从两月回本 到办卡跑路,娱乐资本论,2018,09,07
46,奥委会主席表态 电竞产业布局生变,新浪财经-自媒体综合,2018,09,04
47,奥委会主席表态 电竞产业将迎调整风口,北京商报,2018,09,03
48,9家房企争夺！中国电建9.8亿竞得大杨石65.51亩居住用地,乐居财经,2018,09,03
49,巴赫：电竞不移除暴力元素就不允许入奥,新京报,2018,09,03
50,上海电竞发展核心功能区掲牌 助力行业发展,新浪财经,2018,08,05
51,电竞时代开启， “淘金客”涌入,一财网,2018,08,05
52,电竞这只“鸡”咋吃：掘金不易 赛事稀缺 资本跟风,新浪财经综合,2018,08,05
53,中国电竞发展催生创意 BBC走进Cosplayer的世界,参考消息,2018,08,05
54,PayPal游戏报告 中国女性电竞视频观众全球占比最高,北京商报,2018,08,04
55,电竞国家队呼之欲出:行业规则不明 人才缺乏成是痛点,一财网,2018,08,03
56,电竞小镇：特色小镇与电竞产业的结合,中国经济网,2018,07,30
57,90后刚拿到世界电竞冠军 可他爸爸41亿元股票被冻结,每日经济新闻,2018,07,30
58,彭博社：130亿美元的中国电竞市场 腾讯只想当主演,新浪科技,2018,07,25
59,彭博社：130亿美元的中国电竞市场，腾讯只想当主演,新浪财经,2018,07,25
60,彭博社：130亿美元的中国电竞市场，腾讯只想当主演,新浪财经,2018,07,25
61,电竞经济联络小组成立，最早2022年有望入奥,新浪财经,2018,07,25
62,电竞概念股早盘快速走强 晨鑫科技涨停,经济日报-中国经济网,2018,07,25
63,电竞小镇会是电竞的下一个风口么 上市公司仍在观望,界面,2018,07,13
64,65万平方米电竞综合体将落户上海:可容6千人同时竞技,澎湃新闻,2018,07,13
65,机构预测：2018年中国电竞市场规模逾880亿元,新华社,2018,07,11
66,去年电竞市场达770亿 但赛事规模仅占1.2%,界面,2018,07,11
67,电竞产业异军突起 打Dota比打温网更挣钱,美股综合,2018,07,11
68,奥组委7月举办电竞论坛 或讨论电竞入奥相关事宜,新浪财经,2018,06,29
69,除了王思聪 电竞圈还有哪些富二代？,新浪财经综合,2018,06,27
70,机构预测：2018年中国电竞市场规模逾880亿元,新华社,2018,07,11
71,去年电竞市场达770亿 但赛事规模仅占1.2%,界面,2018,07,11
72,电竞产业异军突起 打Dota比打温网更挣钱,美股综合,2018,07,11
73,奥组委7月举办电竞论坛 或讨论电竞入奥相关事宜,新浪财经,2018,06,29
74,除了王思聪 电竞圈还有哪些富二代？,新浪财经综合,2018,06,27
75,电竞小镇周年考：热潮退去 谁在裸泳？,中国经营报,2018,06,23
76,赛事资源贫乏 电竞小镇周年考：热潮退去 谁在裸泳？,中国经营报,2018,06,23
77,电竞资本“吸金”魔方：万达、英皇等豪门入场 地方政府竞逐,21世纪经济报道,2018,06,21
78,电竞资本吸金：万达、英皇等豪门入场 地方政府竞逐,21世纪经济报道,2018,06,21
79,电竞入选亚运会背后：腾讯抢攻千亿市场,中国经营网,2018,06,19
80,电竞入选亚运会背后：腾讯抢攻千亿市场,中国经营网,2018,06,19
81,中国电竞再次发力：中外合作打造国际化赛事,中国新闻网,2018,06,13
82,填补26万人才缺口 广东成立首批电竞培养基地,时代周报,2018,06,12
83,电商巨头竞速跨境物流,美股综合,2018,06,12
84,币安何一否认投资chiliZ电竞 提示警惕代投风险大,新浪财经,2018,06,08
85,单项观赛高达1.27亿人次 电竞吸金不断顺带救活网吧,新浪财经综合,2018,06,06
86,2017年中国电竞市场规模破650亿元,新浪财经综合,2018,05,31
87,高校入局电竞专业：相比比赛的火爆仍处在拓荒中,新浪财经综合,2018,05,27
88,2018，全球电竞商业化起航年？,21世纪经济报道,2018,05,26
89,雷蛇(01337)牵手京东拓展内地电竞产品市场,智通财经网,2018,05,23
90,雷蛇(01337)牵手京东拓展内地电竞产品市场,智通财经网,2018,05,23
91,雷蛇联手京东 拓展电竞市场,中国证券报·中证网,2018,05,23
92,雷蛇(01337-HK)伙京东拓內地电竞市场,财华社,2018,05,22
93,香港大学首推电竞专业 学制半年学费2万港元,新浪财经综合,2018,05,22
94,东英证券：361度电竞服饰上线 予买入评级看4.5港元,新浪港股,2018,05,17
95,六个电竞项目将亮相雅加达亚运会 产业仍需规范,21世纪经济报道,2018,05,15
96,黄智慧：361度拓电竞服成亮点 可考虑2.4元吸纳,新浪港股,2018,05,11
97,电竞如何爆发正能量？未来会给你更好的答案,中国经济网,2018,04,27
98,东方明珠布局电竞市场，“内容+渠道”打通电竞生态链,一财网,2018,04,26
99,腾讯电竞围绕体育化布局，发布电竞运动城市发展计划,新浪财经,2018,04,23
100,东方明珠布局电竞市场，“内容+渠道”打通电竞生态链,一财网,2018,04,26
101,腾讯电竞围绕体育化布局，发布电竞运动城市发展计划,新浪财经,2018,04,23
102,何猷君当选澳门电竞总会首届会长 王思聪到场支持,21世纪经济报道,2018,04,18
103,高阶电竞市场回温 华擎、华硕、技嘉等主板厂商看旺,新浪财经,2018,04,17
104,电竞业掘金拉斯维加斯 传统“赌城”娱乐风转向,21世纪经济报道,2018,04,14
105,国际足联将于5月19日至20日举办首届电竞世界杯，比赛将通过线上资格赛筛选参加决,新浪财经,2018,04,12
106,完美世界布局电竞全产业链 探索将音乐和竞技相结合,上海证券报,2018,04,10
107,“掠夺者”宏碁的电竞新战事,界面,2018,04,09
108,本土化和职业化 电竞黄金时代的到来,中国新闻网,2018,04,06
109,电竞市场规模超650亿 新三板企业欲分羹,新浪综合,2018,03,26
110,电竞市场规模超650亿 新三板企业欲分羹,新浪综合,2018,03,26
111,通讯：中国电竞企业杀入美国娱乐之都,新华网,2018,03,24
112,电竞俱乐部生存难：有人辞官归故里 有人漏夜赶考场,第一财经日报,2018,03,22
113,职业电竞：年轻人的战场 并非所有人都看得到希望,第一财经日报,2018,03,22
114,资本入局电竞市场机会何在,界面,2018,03,21
115,全国首个以体育场馆为载体的电竞组织将成立,新浪财经,2018,03,21
116,电竞项目初获认可 需更多第三方赛事,21世纪经济报道,2018,03,20
117,国际奥委会委员：正在讨论电竞进入奥运会,新华网,2018,03,18
118,近期电竞产业催化剂不断，多家巨头先后宣布入局电竞产业，到2016年电竞市场整体规,新浪财经,2018,03,18
119,361°瞄准电竞：听说年轻人都在那里,界面,2018,03,14
120,近期电竞产业催化剂不断，多家巨头先后宣布入局电竞产业，到2016年电竞市场整体规,新浪财经,2018,03,18
121,361°瞄准电竞：听说年轻人都在那里,界面,2018,03,14
122,361度公布电竞战略规划 推进品牌年轻化及业务国际化,新浪港股,2018,03,14
123,电竞市场持续升温 头部游戏直播平台迎来上市潮,新浪综合,2018,03,13
124,中新天津生态城聚力发展电竞产业 万平米电竞中心6月建成投用,中国新闻网,2018,02,28
125,电竞有望为香港新经济带来新契机,证券时报,2018,02,24
126,电竞设备第一股雷蛇大涨23% 创上市以来单日最大涨幅,中国证券报,2018,02,22
127,电竞小镇崛起、英雄互娱IPO 电竞产业正在泛娱化？,证券综合,2018,02,13
128,春节临近电竞股上演狂欢 6只年报预喜股最受机构青睐,新浪综合,2018,02,13
129,春节倒计时电竞股狂欢 6只年报预喜股最受机构青睐,证券综合,2018,02,13
130,春节倒计时电竞股狂欢 6只年报预喜股最受机构青睐,证券综合,2018,02,13
131,电竞发展引资本巨鳄抢滩 受益政策松绑用户猛增红利,新浪综合,2018,02,12
132,电竞龙头英雄互娱启动A股IPO 除华谊兄弟还有谁获益,界面,2018,02,09
133,电竞直播头牌背后经济账,一财网,2018,02,06
134,联盟电竞参加中加文化招待会 共促两国文化产业发展,新浪港股,2018,02,03
135,万家电竞CEO遗憾离世 大股东祥源文化拒谈与其矛盾,金证券,2018,01,26
136,80后创业明星茅侃侃自杀 公司万家电竞负债4000余万,新浪综合,2018,01,25
137,80后创业明星自杀 曾与万家文化合作成立万家电竞,新浪综合,2018,01,25
138,万家电竞创始人茅侃侃去世 曾表示其性格不适合创业,新京报,2018,01,25
139,别忽视了电竞产业这个“富矿”,中国经济网,2018,01,24
140,别忽视了电竞产业这个“富矿”,中国经济网,2018,01,24
141,动视暴雪首席执行官Bobby Kotick:打造NBA式电竞联赛,第一财经日报,2018,01,24
142,三大关键字带你解读2017中国电竞,中国新闻网,2018,01,11
143,2018LPL合作伙伴名单惊艳 传统企业看重电竞市场？,新浪综合,2018,01,10
144,绿地6000万投资竞界50%股权 布局电竞+协同地产运营,21世纪经济报道,2018,01,08
145,绿地金融再“跨界” 战略投资电竞行业,中国证券网,2018,01,07
146,资本肆虐的2017电竞圈 几家欢喜几家愁,智通财经网,2018,01,07
147,上海打造“全球电竞之都”　资本争相布局,新浪财经,2018,01,06
148,上海打造“全球电竞之都” 资本争相布局,新华网,2018,01,06
149,绿地跨界入股电竞公司 出资6000万获竞界50%股权,新浪财经,2018,01,05
150,资本肆虐的2017电竞圈 几家欢喜几家愁,智通财经网,2018,01,07
151,上海打造“全球电竞之都”　资本争相布局,新浪财经,2018,01,06
152,上海打造“全球电竞之都” 资本争相布局,新华网,2018,01,06
153,绿地跨界入股电竞公司 出资6000万获竞界50%股权,新浪财经,2018,01,05
154,电竞产业成资本追逐“风口”,新浪财经,2017,12,31
155,脱困县的电竞诱惑：重庆忠县逐梦电竞产业生态圈,21世纪经济报道,2017,12,25
156,顺网科技：合作共享 共筑电竞,中证网,2017,12,22
157,重庆忠县掘金电竞产业,经济日报,2017,12,21
158,两岸学子南京同台比拼电竞项目 架起新的交流平台,中国新闻网,2017,12,19
159,魔杰电竞加速渠道布局 探索“电竞+”市场,中国证券报-中证网,2017,12,17
160,魔杰电竞加速渠道布局 探索“电竞+”市场,中国证券报-中证网,2017,12,17
161,野蛮生长进行时：电竞后服务市场的争夺战,经济观察网,2017,12,13
162,腾讯泛娱乐新探索 首个泛娱乐电竞综合体落地北京,经济观察网,2017,12,11
163,演绎互联网时代的体育英雄互娱让库克迷上电竞,上海证券报,2017,12,09
164,手游带火电竞手机 众厂商争相“蹭热点”,中国经营报,2017,12,09
165,中韩竞夺英国核电 韩电击败中广核成优先协商对象,新浪财经,2017,12,08
166,中韩竞夺英国核电 被韩电抢先一步暂成优先协商对象,一财网,2017,12,08
167,国美“G部落”联手英特尔 掀“全民电竞”风暴,中国新闻网,2017,12,06
168,应书岭：移动电竞也能够代表中国文化,中国经济网,2017,12,05
169,港媒：中国电竞产业火热 国际硬件公司笑了,环球时报,2017,12,04
170,港媒：中国电竞产业火热 国际硬件公司笑了,环球时报,2017,12,04
171,中国信息科技发展(08178-HK)研究入股电竞公司,财华社,2017,11,29
172,央视报道DOTA2完美大师赛 电竞申奥受关注,中国新闻网,2017,11,29
173,今年我国电竞市场规模突破700亿 推进产业规范化发展,中国经济网,2017,11,28
174,从洪水猛兽到官方支持：电竞产业劲吹中国风,时代周报,2017,11,28
175,再“聚”上海滩！电竞年度奖项花落谁家,中国新闻网,2017,11,24
176,从CHINA TOP出发 黑色时空用“电竞+”撬动千亿市场,中国新闻网,2017,11,23
177,国家杯开赛，电竞行业再迎盛事,经济观察网,2017,11,22
178,腾讯与PUBG公司达成战略合作 电竞产业矩阵再下一城,新华网,2017,11,22
179,软岛科技：电竞产业不会饱和 多元市场远超想象,中国新闻网,2017,11,22
180,今年我国电竞产业市场规模将突破700亿,中国经济网,2017,11,22
181,图解：电竞主播身价千万 玩家月均家庭收入1.2万,界面,2017,11,20
182,赵薇杠杆收购折戟：万家电竞濒临破产 信用受影响,中国经营报,2017,11,18
183,港股异动︱港电竞第一股雷蛇(01337)跌4% 券商：暂不宜追入,智通财经网,2017,11,14
184,雷蛇在港上市 资本进驻“电竞设备第一股”,上海证券报,2017,11,14
185,太仓拟5年投25亿打造电竞小镇 缺核心赛事产业掘金难,新京报,2017,11,14
186,雷蛇香港“流血”上市 硬件品牌为何能成电竞第一股,新京报,2017,11,13
187,电竞股雷蛇上市首日大涨22% 李嘉诚已潜伏其中,一财网,2017,11,13
188,电商巨头“双11”竞拼黑科技 新零售战略能否冲破业绩瓶颈,投资者报,2017,11,13
189,2017 CHINA TOP国家杯电竞大赛全球总决赛19日深圳开战,中国新闻网,2017,11,11
190,互联网大佬都在做的电竞馆 它如何才能飞起来？,新浪综合,2017,11,11
191,电竞入奥争议 商业模式滞后竞技发展,中国经营报,2017,11,11
192,企鹅电竞开放内容赛事生态 储备电竞人才,中国新闻网,2017,11,10
193,李嘉诚新欢雷蛇冲电竞第一股 连续亏损光环顶多久？,投资时报,2017,11,10
194,港股独角兽：雷蛇与电竞对手的比较,新浪港股,2017,11,10
195,游戏产业受机构追捧 全球电竞职业化热潮来袭,21世纪经济报道,2017,11,10
196,图集：中国电竞青少年的逐梦路,其他,2017,11,09
197,双11咋薅羊毛：平台补贴动辄上亿 晚会电竞轮番上,中国新闻网,2017,11,09
198,普华永道：2021年中国电竞市场规模料达1.82亿美元,新浪财经,2017,11,07
199,普华永道：电竞为中国市场开创机会,中国经济网,2017,11,07
200,普华永道：2021年中国电竞市场规模料达1.82亿美元,新浪财经,2017,11,07
201,普华永道：电竞为中国市场开创机会,中国经济网,2017,11,07
202,蓝翔开电竞专业 伽马数据：请不要误导孩子,中国新闻网,2017,11,07
203,电竞千亿产业链收益是中超２倍 人才缺口达26万,时代周报,2017,11,07
204,电竞的千亿产业链 收益是中超联赛２倍,时代周报,2017,11,07
205,雷蛇IPO：电竞玩家的信仰充值,新浪港股,2017,11,06
206,山东蓝翔开设电竞专业：学制3年，第一阶段学习英雄联盟,澎湃新闻,2017,11,02
207,李嘉诚为何选中雷蛇？来看看电竞全产业链分析,智通财经网,2017,11,02
208,7款神舟超级战神电竞本发布 旗舰款售价39999元,中国新闻网,2017,11,02
209,图解丨香港首只电竞概念股雷蛇的“后台”是谁？,21世纪经济报道,2017,11,01
210, QG电竞俱乐部完成近亿元A轮融资 ,新浪财经,2018,09,27
211,亚运会夺冠会给电竞教育带来多少利好,新浪财经-自媒体综合,2018,09,13
212, 【Research and Markets：电竞市场在2,新浪财经,2018,09,11
213,多路资本涌入880亿电竞市场 中国电竞等待斯特恩,每日经济新闻,2018,09,11
214,虎牙宣布运营《守望先锋联赛》战队 布局全球电竞,环球网,2018,09,08
215,电竞馆的贴地飞行：从两月回本 到办卡跑路,娱乐资本论,2018,09,07
216,奥委会主席表态 电竞产业布局生变,新浪财经-自媒体综合,2018,09,04
217,奥委会主席表态 电竞产业将迎调整风口,北京商报,2018,09,03
218,9家房企争夺！中国电建9.8亿竞得大杨石65.51亩居住用地,乐居财经,2018,09,03
219,巴赫：电竞不移除暴力元素就不允许入奥,新京报,2018,09,03
220,京东发布电竞手机标准拟推出定制手机,证券日报,2017,10,20
221,《绝地求生》带火电竞产业 上市公司纷纷抢滩卡位,每日经济新闻,2017,10,18
222,阳狮星传专场：电竞热土谁为王者？,新浪财经,2017,10,17
223,WUCG北区决赛座无虚席，诠释高校电竞不言弃,中国新闻网,2017,10,16
224,电竞产业兴起机遇还是虚火？同质化严重观赏性不够,21世纪经济报道,2017,10,13
225,风口上的电竞小镇:如何做出特色和找到盈利点是难题,中国经营报,2017,10,07
226,WUCG电竞大篷车首秀完美落幕，东区决赛引燃南广之夜,中国新闻网,2017,09,30
227,侯阁亭运营电竞战队陷资不抵债 父亲85亿家底撑场,每日经济新闻,2017,09,29
228,电竞产业加速催生经济新动能 强力拉动周边产业,上海证券报,2017,09,29
229,电竞教育：够专业才能让教育有力量 让梦想有翅膀,中国新闻网,2017,09,28
230,电竞产业加速催生经济新动能 强力拉动周边产业,上海证券报,2017,09,29
231,电竞教育：够专业才能让教育有力量 让梦想有翅膀,中国新闻网,2017,09,28
232,人民日报报道电竞比赛：虚拟空间竞技促进跨文化交流,新浪综合,2017,09,27
233,郑志刚：继续在旗下商场增加电竞元素,财华社,2017,09,26
